Populouscurrency_marketcap,Tether,Ethereum Classiccurrency_marketcap,Stratiscurrency_marketcap,EOS,Monero,ICONcurrency_volume,Stellarcurrency_volume,Stratiscurrency_volume,Dash,Litecoincurrency_volume,ICONcurrency_marketcap,Ethereum,Bitcoincurrency_marketcap,IOTA,Cardanocurrency_volume,VeChaincurrency_volume,NEOcurrency_marketcap,Bitcoincurrency_volume,Qtumcurrency_volume,Zcashcurrency_marketcap,Ethereumcurrency_volume,EOScurrency_volume,Steemcurrency_marketcap,IOTAcurrency_marketcap,Binance Coincurrency_volume,Liskcurrency_volume,Ethereum Classic,NEO,EOScurrency_marketcap,time,ICON,Bitcoin Goldcurrency_marketcap,TRONcurrency_marketcap,OmiseGOcurrency_volume,Steemcurrency_volume,Dashcurrency_volume,DigixDAOcurrency_marketcap,VeChaincurrency_marketcap,Cardanocurrency_marketcap,Bitcoin Cashcurrency_volume,Tethercurrency_volume,Ripplecurrency_volume,Binance Coincurrency_marketcap,OmiseGO,Nanocurrency_marketcap,Bitcoin Cashcurrency_marketcap,Ripplecurrency_marketcap,Bitcoin Gold,Monerocurrency_marketcap,Zcash,Qtumcurrency_marketcap,Nano,Zcashcurrency_volume,Liskcurrency_marketcap,Populous,Qtum,Ethereum Classiccurrency_volume,Ethereumcurrency_marketcap,Bitcoin Cash,IOTAcurrency_volume,DigixDAOcurrency_volume,Stellarcurrency_marketcap,Stellar,OmiseGOcurrency_marketcap,Stratis,Bitcoin Goldcurrency_volume,Binance Coin,VeChain,Monerocurrency_volume,NEMcurrency_volume,DigixDAO,NEOcurrency_volume,Vergecurrency_volume,Lisk,Dashcurrency_marketcap,TRONcurrency_volume,Cardano,Steem,Tethercurrency_marketcap,NEMcurrency_marketcap,Litecoincurrency_marketcap,TRON,Bitcoin,NEM,Nanocurrency_volume,Vergecurrency_marketcap,Ripple,Populouscurrency_volume,Litecoin,Verge
"$836,727,65",$0.997876,"$2,768,239,01","$821,715,59",$8.15,$372.22,"$17,189,400","$94,536,600","$8,241,260",$614.87,"$612,108,000","$1,384,573,27",$862.33,"$197,098,942,05",$1.88,"$201,965,000","$38,841,500","$7,701,330,00","$6,464,390,000","$100,309,000","$1,367,786,29","$1,876,660,000","$218,841,000","$878,315,82","$5,222,320,47","$39,127,400","$29,339,700",$27.60,$118.48,"$5,777,883,22",1520276645.7217107,$3.59,"$1,885,124,86","$3,136,057,28","$40,084,100","$7,188,320","$116,394,000","$992,118,00","$2,218,861,81","$7,935,939,24","$349,838,000","$2,247,470,000","$1,864,360,000","$1,020,705,62",$17.47,"$2,032,649,35","$21,793,972,71","$40,549,695,77",$111.80,"$5,877,784,64",$400.54,"$2,004,688,88",$15.25,"$55,206,700","$1,930,778,79",$22.61,$27.12,"$616,625,000","$84,510,893,80",$1281.89,"$24,847,900","$28,664,300","$6,870,567,09",$0.372023,"$1,782,877,26",$8.32,"$21,351,500",$10.31,$4.67,"$132,671,000","$72,796,500",$496.06,"$191,371,000","$14,539,100",$18.84,"$4,874,866,55","$293,908,000",$0.306087,$3.50,"$2,212,431,60","$3,276,522,00","$11,841,956,69",$0.047698,$11661.40,$0.364058,"$52,743,000","$825,779,16",$1.04,"$4,653,280",$213.39,$0.056282
"$834,566,62",$0.999963,"$2,753,925,79","$822,560,03",$8.17,$371.68,"$17,239,100","$94,760,200","$8,252,690",$616.17,"$612,429,000","$1,395,901,39",$862.86,"$197,376,131,98",$1.88,"$202,134,000","$39,051,900","$7,703,800,00","$6,478,270,000","$100,539,000","$1,368,581,95","$1,879,540,000","$218,862,000","$874,244,84","$5,224,571,89","$39,218,800","$29,421,900",$27.46,$118.52,"$5,787,145,82",1520276950.9527357,$3.62,"$1,889,036,92","$3,139,094,85","$40,186,900","$7,177,160","$116,366,000","$994,574,00","$2,215,564,58","$7,933,631,73","$350,361,000","$2,250,330,000","$1,862,480,000","$1,021,913,59",$17.49,"$2,028,118,91","$21,826,615,47","$40,508,258,29",$112.03,"$5,869,383,66",$400.77,"$2,006,307,89",$15.22,"$55,309,600","$1,933,812,91",$22.55,$27.14,"$617,045,000","$84,563,227,50",$1283.81,"$24,836,800","$28,524,000","$6,873,208,03",$0.372166,"$1,785,081,37",$8.33,"$21,424,800",$10.32,$4.66,"$132,673,000","$72,540,800",$497.29,"$190,746,000","$14,568,300",$18.87,"$4,885,173,26","$294,188,000",$0.305998,$3.48,"$2,217,058,77","$3,273,894,00","$11,843,566,05",$0.047744,$11677.80,$0.363766,"$52,768,900","$827,218,51",$1.04,"$4,679,280",$213.42,$0.056380
"$830,055,82",$0.999699,"$2,739,542,36","$821,844,97",$8.16,$370.52,"$17,240,400","$94,842,500","$8,127,680",$616.42,"$611,974,000","$1,389,150,83",$863.80,"$197,374,441,80",$1.88,"$202,340,000","$38,693,000","$7,707,570,00","$6,473,170,000","$100,515,000","$1,368,359,99","$1,881,280,000","$218,591,000","$876,528,81","$5,226,517,56","$39,186,300","$29,452,400",$27.31,$118.58,"$5,780,434,51",1520277256.0548146,$3.60,"$1,890,369,05","$3,139,108,00","$40,228,100","$7,203,720","$116,101,000","$994,184,00","$2,219,127,87","$7,934,772,52","$350,538,000","$2,244,360,000","$1,858,900,000","$1,022,210,63",$17.50,"$2,024,707,75","$21,824,745,31","$40,514,903,93",$112.11,"$5,851,002,55",$400.70,"$2,005,531,65",$15.20,"$55,039,000","$1,933,915,42",$22.43,$27.13,"$616,879,000","$84,655,252,49",$1283.70,"$24,776,400","$28,255,800","$6,881,481,75",$0.372614,"$1,786,183,43",$8.32,"$21,463,600",$10.32,$4.67,"$132,213,000","$72,390,900",$497.09,"$190,108,000","$14,575,100",$18.87,"$4,887,107,75","$294,120,000",$0.306042,$3.49,"$2,216,473,45","$3,267,729,00","$11,838,515,99",$0.047744,$11677.70,$0.363081,"$52,833,100","$828,948,37",$1.04,"$4,694,130",$213.32,$0.056498
"$821,167,46",$0.999062,"$2,728,639,43","$819,692,88",$8.15,$369.22,"$17,378,500","$94,774,900","$8,127,350",$616.78,"$611,522,000","$1,387,190,13",$863.40,"$197,344,018,51",$1.88,"$202,388,000","$38,949,300","$7,671,300,00","$6,466,680,000","$100,677,000","$1,367,929,71","$1,881,690,000","$218,622,000","$873,933,62","$5,222,070,31","$39,102,100","$29,406,400",$27.20,$118.02,"$5,774,991,76",1520277560.9690626,$3.59,"$1,885,630,73","$3,140,429,53","$40,084,700","$7,191,860","$116,283,000","$1,001,268,00","$2,211,098,60","$7,928,472,24","$350,281,000","$2,243,490,000","$1,857,080,000","$1,021,299,70",$17.50,"$2,020,790,25","$21,817,774,72","$40,477,766,57",$111.83,"$5,830,536,99",$400.58,"$2,002,352,79",$15.17,"$55,117,600","$1,928,872,21",$22.19,$27.09,"$616,163,000","$84,615,561,20",$1283.29,"$24,705,900","$28,197,200","$6,867,907,68",$0.371879,"$1,785,734,45",$8.30,"$21,379,800",$10.31,$4.65,"$131,579,000","$72,417,900",$500.63,"$189,233,000","$14,570,200",$18.82,"$4,889,961,91","$293,869,000",$0.305799,$3.48,"$2,215,061,13","$3,267,054,00","$11,823,809,76",$0.047765,$11675.90,$0.363006,"$52,665,700","$828,766,43",$1.04,"$4,711,820",$213.06,$0.056485
"$826,077,89",$0.999102,"$2,726,391,02","$818,264,89",$8.15,$367.74,"$17,095,700","$94,779,300","$8,145,560",$617.16,"$611,742,000","$1,384,963,10",$862.68,"$197,359,522,08",$1.88,"$202,571,000","$38,881,300","$7,661,485,00","$6,459,470,000","$100,648,000","$1,367,147,00","$1,882,690,000","$218,309,000","$874,746,81","$5,219,763,30","$39,400,900","$29,307,000",$27.18,$117.87,"$5,775,650,84",1520277866.0639818,$3.59,"$1,885,026,48","$3,131,172,19","$40,086,700","$7,187,050","$116,544,000","$1,003,802,00","$2,206,081,50","$7,920,331,14","$350,413,000","$2,247,410,000","$1,852,960,000","$1,022,428,46",$17.49,"$2,024,774,37","$21,801,809,40","$40,439,456,45",$111.79,"$5,807,111,08",$400.34,"$2,000,261,62",$15.20,"$55,139,400","$1,925,324,33",$22.32,$27.06,"$616,786,000","$84,545,266,12",$1282.35,"$24,610,900","$28,292,600","$6,860,151,07",$0.371459,"$1,785,152,80",$8.28,"$21,386,500",$10.33,$4.64,"$131,005,000","$72,504,600",$501.90,"$188,294,000","$14,575,600",$18.78,"$4,893,016,22","$293,198,000",$0.305485,$3.49,"$2,215,149,82","$3,271,662,00","$11,819,529,05",$0.047624,$11676.80,$0.363518,"$52,745,000","$829,649,86",$1.03,"$4,746,140",$212.98,$0.056545
"$822,077,76",$0.999168,"$2,713,000,54","$819,737,48",$8.14,$367.60,"$16,997,500","$94,876,400","$8,154,130",$617.51,"$610,536,000","$1,381,944,84",$862.37,"$197,227,687,65",$1.88,"$202,431,000","$38,947,200","$7,660,120,00","$6,454,830,000","$101,006,000","$1,367,874,38","$1,883,240,000","$217,657,000","$878,423,75","$5,220,263,62","$39,461,000","$29,286,500",$27.05,$117.85,"$5,771,738,87",1520278171.4182549,$3.58,"$1,886,797,03","$3,134,091,41","$40,063,400","$7,200,550","$116,632,000","$1,007,066,00","$2,207,915,40","$7,920,045,94","$350,380,000","$2,238,650,000","$1,850,830,000","$1,022,893,83",$17.49,"$2,032,396,18","$21,810,310,13","$40,414,828,52",$111.89,"$5,804,947,66",$400.55,"$1,997,541,11",$15.25,"$55,290,500","$1,928,317,47",$22.22,$27.02,"$615,687,000","$84,515,669,06",$1282.85,"$24,556,900","$28,161,700","$6,850,289,09",$0.370925,"$1,784,999,74",$8.30,"$21,333,400",$10.33,$4.65,"$131,177,000","$72,475,200",$503.53,"$188,501,000","$14,545,900",$18.81,"$4,895,806,97","$293,571,000",$0.305474,$3.50,"$2,215,296,15","$3,261,123,00","$11,815,755,36",$0.047668,$11669.00,$0.362347,"$52,707,900","$828,103,40",$1.03,"$4,760,030",$212.91,$0.056440
"$819,546,68",$0.998360,"$2,720,824,19","$816,049,59",$8.14,$368.38,"$16,990,500","$94,967,600","$8,204,270",$616.61,"$610,578,000","$1,383,396,08",$862.29,"$197,119,515,81",$1.88,"$203,008,000","$38,904,300","$7,645,040,00","$6,455,220,000","$101,293,000","$1,367,058,21","$1,883,030,000","$217,336,000","$875,424,47","$5,219,068,42","$39,488,100","$29,531,900",$27.13,$117.62,"$5,770,753,79",1520278476.5912056,$3.58,"$1,889,393,83","$3,133,105,19","$40,036,100","$7,198,440","$116,580,000","$1,004,700,00","$2,210,789,78","$7,948,565,72","$350,738,000","$2,238,320,000","$1,851,690,000","$1,022,755,21",$17.48,"$2,020,323,88","$21,789,058,32","$40,467,211,74",$112.05,"$5,817,233,37",$400.31,"$1,998,812,65",$15.16,"$55,325,200","$1,927,312,92",$22.15,$27.04,"$619,482,000","$84,507,534,77",$1281.60,"$24,278,700","$28,075,500","$6,836,511,87",$0.370179,"$1,784,009,93",$8.26,"$21,403,100",$10.33,$4.65,"$131,326,000","$72,302,200",$502.35,"$188,776,000","$14,529,200",$18.80,"$4,888,631,89","$293,532,000",$0.306574,$3.49,"$2,213,504,70","$3,256,119,00","$11,799,217,72",$0.047653,$11662.60,$0.361791,"$52,615,900","$826,935,48",$1.04,"$4,758,000",$212.62,$0.056360
"$818,247,84",$0.998664,"$2,718,808,10","$813,451,08",$8.13,$367.81,"$16,957,600","$95,071,800","$8,205,110",$616.02,"$609,896,000","$1,379,509,39",$861.82,"$197,183,742,84",$1.88,"$202,739,000","$38,888,800","$7,634,315,00","$6,453,320,000","$101,413,000","$1,366,040,55","$1,881,210,000","$216,988,000","$877,507,65","$5,214,343,22","$39,408,400","$29,514,100",$27.11,$117.45,"$5,760,817,93",1520278781.8357322,$3.57,"$1,886,982,51","$3,130,481,83","$39,801,900","$7,191,700","$116,523,000","$1,000,982,00","$2,205,710,92","$7,920,927,46","$350,356,000","$2,234,180,000","$1,854,030,000","$1,019,814,49",$17.48,"$2,021,683,01","$21,780,557,59","$40,519,594,96",$111.91,"$5,808,153,32",$400.02,"$1,996,816,62",$15.17,"$55,108,500","$1,922,966,73",$22.11,$27.01,"$620,004,000","$84,461,375,13",$1281.10,"$24,261,000","$28,073,600","$6,843,252,73",$0.370544,"$1,784,071,15",$8.24,"$21,414,800",$10.30,$4.64,"$131,297,000","$72,249,000",$500.49,"$188,510,000","$14,503,500",$18.76,"$4,883,938,35","$293,139,000",$0.305508,$3.50,"$2,214,178,71","$3,254,535,00","$11,797,885,83",$0.047613,$11666.40,$0.361615,"$52,697,300","$825,920,16",$1.04,"$4,762,330",$212.59,$0.056291
"$809,751,72",$0.999831,"$2,715,114,06","$814,509,97",$8.13,$367.72,"$16,965,200","$95,229,000","$8,223,490",$616.36,"$609,848,000","$1,380,840,98",$861.53,"$197,175,875,21",$1.88,"$203,273,000","$39,038,100","$7,634,510,00","$6,454,660,000","$101,540,000","$1,365,150,33","$1,882,190,000","$216,661,000","$877,256,67","$5,213,203,61","$39,485,300","$29,468,400",$27.07,$117.45,"$5,764,954,15",1520279086.766256,$3.58,"$1,884,892,98","$3,131,198,49","$39,776,700","$7,191,660","$116,425,000","$1,001,084,00","$2,204,556,41","$7,946,984,17","$350,827,000","$2,235,670,000","$1,849,390,000","$1,019,101,59",$17.49,"$2,012,382,28","$21,784,499,96","$40,467,211,74",$111.78,"$5,806,825,05",$399.75,"$1,997,061,44",$15.10,"$55,191,200","$1,922,022,43",$21.88,$27.01,"$619,819,000","$84,433,671,33",$1281.33,"$24,260,600","$27,967,900","$6,860,428,09",$0.371474,"$1,785,132,40",$8.25,"$21,367,500",$10.29,$4.64,"$131,144,000","$71,744,900",$500.54,"$188,959,000","$14,528,100",$18.75,"$4,886,705,01","$293,237,000",$0.306513,$3.50,"$2,216,766,11","$3,245,607,00","$11,795,859,07",$0.047624,$11665.90,$0.360623,"$52,626,500","$825,402,89",$1.04,"$4,796,600",$212.56,$0.056256
"$806,998,62",$0.998480,"$2,705,906,20","$814,048,74",$8.12,$368.06,"$16,986,400","$95,370,600","$8,220,370",$615.92,"$609,255,000","$1,382,330,81",$861.37,"$197,187,706,54",$1.88,"$203,099,000","$39,257,100","$7,626,385,00","$6,456,250,000","$101,740,000","$1,364,293,16","$1,881,970,000","$216,211,000","$876,742,15","$5,218,151,17","$39,546,800","$29,497,200",$26.98,$117.33,"$5,760,420,96",1520279392.088853,$3.58,"$1,884,892,98","$3,135,643,07","$39,785,700","$7,194,230","$116,220,000","$998,300,00","$2,208,932,12","$7,933,605,80","$350,805,000","$2,231,480,000","$1,847,040,000","$1,019,883,80",$17.50,"$2,019,551,04","$21,788,240,28","$40,392,546,10",$111.78,"$5,812,162,57",$399.50,"$1,997,379,33",$15.16,"$55,211,300","$1,925,200,09",$21.81,$27.02,"$619,156,000","$84,417,696,72",$1281.55,"$24,264,100","$27,879,100","$6,860,465,03",$0.371476,"$1,786,224,25",$8.24,"$21,345,700",$10.30,$4.65,"$131,245,000","$71,469,600",$499.15,"$188,761,000","$14,531,900",$18.78,"$4,883,216,56","$293,350,000",$0.305997,$3.49,"$2,213,770,75","$3,247,191,00","$11,794,638,17",$0.047692,$11666.60,$0.360799,"$52,642,100","$826,441,69",$1.03,"$4,889,730",$212.53,$0.056326
"$804,234,41",$0.998624,"$2,693,719,33","$815,181,58",$8.13,$367.85,"$16,924,200","$95,501,800","$8,214,970",$615.85,"$608,880,000","$1,382,639,58",$860.89,"$197,265,455,28",$1.87,"$203,149,000","$39,181,500","$7,624,825,00","$6,460,640,000","$102,104,000","$1,363,586,25","$1,883,110,000","$216,047,000","$875,319,06","$5,208,617,38","$39,550,200","$29,538,800",$26.86,$117.31,"$5,765,138,60",1520279697.133626,$3.58,"$1,884,488,28","$3,138,411,07","$39,823,100","$7,142,660","$116,184,000","$996,606,00","$2,209,473,74","$7,931,816,83","$351,374,000","$2,230,150,000","$1,843,660,000","$1,020,606,60",$17.52,"$2,020,203,96","$21,795,210,89","$39,978,562,28",$111.76,"$5,808,893,73",$399.29,"$2,000,728,23",$15.16,"$55,365,800","$1,928,418,75",$21.73,$27.06,"$618,098,000","$84,370,654,91",$1281.96,"$24,220,600","$27,802,600","$6,861,683,92",$0.371542,"$1,787,734,48",$8.25,"$21,278,500",$10.31,$4.65,"$131,374,000","$71,193,800",$498.30,"$188,527,000","$14,554,600",$18.81,"$4,882,669,51","$293,441,000",$0.305928,$3.49,"$2,214,090,02","$3,242,016,00","$11,790,975,46",$0.047734,$11671.20,$0.360224,"$52,616,500","$826,259,75",$1.02,"$4,877,530",$212.47,$0.056314
"$803,424,03",$0.998299,"$2,687,139,42","$818,562,31",$8.12,$367.08,"$16,940,500","$95,573,600","$8,231,210",$615.46,"$608,962,000","$1,380,273,61",$860.17,"$197,431,093,90",$1.87,"$202,821,000","$39,266,600","$7,587,125,00","$6,470,560,000","$102,186,000","$1,362,875,92","$1,881,910,000","$215,590,000","$875,148,39","$5,200,334,38","$39,532,000","$29,469,600",$26.79,$116.72,"$5,760,059,16",1520280002.393579,$3.58,"$1,884,437,69","$3,136,208,50","$39,848,700","$7,135,250","$116,134,000","$997,696,00","$2,199,776,86","$7,900,159,88","$351,436,000","$2,229,100,000","$1,847,130,000","$1,018,507,51",$17.51,"$2,014,554,23","$21,792,490,65","$39,556,369,15",$111.75,"$5,796,734,30",$399.08,"$1,999,050,08",$15.12,"$55,439,800","$1,923,549,76",$21.71,$27.04,"$618,236,000","$84,299,994,20",$1281.80,"$24,189,000","$27,769,900","$6,849,217,94",$0.370867,"$1,786,969,16",$8.29,"$21,349,600",$10.29,$4.63,"$131,178,000","$70,956,000",$498.85,"$188,409,000","$14,583,000",$18.77,"$4,879,561,62","$293,179,000",$0.304707,$3.49,"$2,213,369,45","$3,228,327,00","$11,783,372,57",$0.047700,$11681.00,$0.358703,"$52,659,100","$826,698,46",$1.01,"$4,873,130",$212.33,$0.056344
"$800,992,86",$1.00,"$2,683,617,55","$817,044,42",$8.12,$368.30,"$16,971,800","$96,095,800","$8,243,790",$615.69,"$609,222,000","$1,382,172,56",$860.07,"$197,304,329,65",$1.87,"$203,455,000","$39,376,600","$7,594,730,00","$6,483,630,000","$102,255,000","$1,363,426,79","$1,882,940,000","$215,076,000","$875,991,70","$5,193,691,31","$39,583,400","$29,537,600",$26.75,$116.84,"$5,761,673,03",1520280307.3229704,$3.58,"$1,883,695,75","$3,141,021,27","$39,924,100","$7,137,110","$116,118,000","$995,724,00","$2,194,208,63","$7,907,134,26","$351,854,000","$2,234,010,000","$1,851,230,000","$1,017,131,21",$17.57,"$2,008,931,15","$21,797,607,12","$39,178,349,93",$111.71,"$5,816,000,89",$399.24,"$1,995,421,12",$15.08,"$55,524,400","$1,926,428,92",$21.65,$26.99,"$618,523,000","$84,290,137,35",$1282.10,"$24,173,000","$27,747,200","$6,876,975,53",$0.372370,"$1,793,030,49",$8.27,"$21,283,800",$10.27,$4.62,"$132,116,000","$70,893,300",$497.86,"$188,859,000","$14,605,100",$18.79,"$4,881,381,30","$293,595,000",$0.304976,$3.49,"$2,217,162,98","$3,228,588,00","$11,782,143,94",$0.047774,$11673.50,$0.358732,"$52,779,200","$825,557,30",$1.00,"$4,881,850",$212.31,$0.056266
"$798,347,07",$0.999060,"$2,667,558,91","$813,814,80",$8.13,$367.09,"$16,959,600","$96,072,900","$8,246,830",$614.33,"$608,893,000","$1,382,558,53",$860.12,"$197,547,717,01",$1.87,"$203,856,000","$39,527,700","$7,573,150,00","$6,490,980,000","$102,490,000","$1,361,736,32","$1,881,990,000","$213,784,000","$876,353,12","$5,189,271,85","$39,594,900","$29,581,200",$26.59,$116.51,"$5,764,993,41",1520280612.4174588,$3.58,"$1,883,341,64","$3,129,423,29","$39,861,400","$7,125,130","$116,286,000","$992,924,00","$2,192,023,15","$7,894,041,09","$351,492,000","$2,234,670,000","$1,856,040,000","$1,016,576,73",$17.54,"$2,000,096,79","$21,787,576,24","$38,847,280,14",$111.69,"$5,796,972,11",$398.74,"$1,994,312,22",$15.01,"$55,605,500","$1,925,752,39",$21.57,$26.98,"$616,578,000","$84,295,527,57",$1281.51,"$24,166,700","$27,686,200","$6,862,090,22",$0.371564,"$1,790,091,66",$8.24,"$21,351,600",$10.27,$4.61,"$131,857,000","$70,844,700",$496.46,"$188,988,000","$14,605,100",$18.79,"$4,870,614,64","$292,993,000",$0.304471,$3.49,"$2,215,056,70","$3,223,638,00","$11,786,972,07",$0.047597,$11687.90,$0.358182,"$53,006,200","$824,424,59",$0.993741,"$4,932,660",$212.39,$0.056189
"$801,640,43",$0.999839,"$2,659,053,15","$816,023,19",$8.13,$368.09,"$17,087,300","$96,433,800","$8,263,920",$614.37,"$609,605,000","$1,386,159,60",$859.84,"$197,524,054,35",$1.87,"$204,363,000","$39,608,800","$7,578,480,00","$6,507,810,000","$102,913,000","$1,363,262,86","$1,882,690,000","$211,854,000","$876,212,57","$5,193,329,97","$39,809,100","$29,711,300",$26.51,$116.59,"$5,766,050,54",1520280917.4326904,$3.59,"$1,887,118,81","$3,139,627,41","$39,756,800","$7,147,590","$116,075,000","$983,814,00","$2,199,411,03","$7,864,173,10","$352,706,000","$2,232,360,000","$1,856,290,000","$1,018,458,00",$17.57,"$1,981,455,36","$21,841,130,93","$38,466,329,03",$111.91,"$5,812,637,30",$399.19,"$1,994,304,82",$14.87,"$55,745,100","$1,930,426,64",$21.66,$26.98,"$618,204,000","$84,267,694,43",$1284.66,"$24,110,300","$28,073,600","$6,874,667,01",$0.372245,"$1,792,622,32",$8.26,"$21,375,500",$10.29,$4.63,"$132,185,000","$71,017,700",$491.91,"$190,409,000","$14,670,600",$18.83,"$4,870,884,20","$293,622,000",$0.303319,$3.49,"$2,216,783,85","$3,234,510,00","$11,795,074,46",$0.047752,$11686.50,$0.359390,"$53,994,900","$823,382,85",$0.983996,"$4,962,160",$212.54,$0.056118
"$801,740,34",$0.996666,"$2,663,657,09","$820,045,89",$8.12,$366.97,"$17,066,100","$96,774,500","$8,241,830",$613.54,"$608,284,000","$1,379,177,46",$858.76,"$197,312,780,60",$1.87,"$204,498,000","$39,532,900","$7,534,735,00","$6,512,310,000","$103,044,000","$1,361,121,61","$1,881,250,000","$211,669,000","$876,629,20","$5,189,077,29","$39,794,800","$29,726,500",$26.56,$115.92,"$5,764,127,84",1520281222.443937,$3.57,"$1,881,807,16","$3,129,600,81","$39,638,400","$7,158,770","$115,978,000","$977,196,00","$2,206,789,40","$7,848,305,74","$352,487,000","$2,238,040,000","$1,880,910,000","$1,016,012,35",$17.54,"$1,976,765,02","$21,802,367,54","$38,727,541,48",$111.60,"$5,794,998,17",$398.56,"$1,982,846,10",$14.84,"$55,665,700","$1,923,312,75",$21.67,$26.82,"$620,738,000","$84,161,948,07",$1282.38,"$24,147,300","$28,002,400","$6,868,646,41",$0.371919,"$1,790,101,87",$8.30,"$21,329,800",$10.26,$4.64,"$131,992,000","$70,688,900",$488.60,"$191,350,000","$14,616,600",$18.76,"$4,864,351,26","$293,034,000",$0.302707,$3.49,"$2,209,748,86","$3,226,752,00","$11,778,092,75",$0.047600,$11674.00,$0.358528,"$54,332,100","$819,180,66",$0.990678,"$4,956,990",$212.23,$0.055831
"$803,801,47",$0.996569,"$2,676,102,87","$819,312,23",$8.13,$366.32,"$16,973,900","$96,918,100","$8,206,390",$612.57,"$608,838,000","$1,370,933,22",$858.85,"$197,583,795,50",$1.86,"$205,268,000","$39,680,100","$7,504,380,00","$6,525,470,000","$103,439,000","$1,361,992,92","$1,883,420,000","$211,454,000","$877,695,89","$5,177,125,31","$39,870,200","$29,830,400",$26.68,$115.45,"$5,768,803,49",1520281527.559802,$3.55,"$1,882,346,76","$3,126,523,79","$39,578,900","$7,164,570","$115,890,000","$978,264,00","$2,212,932,50","$7,843,198,10","$352,628,000","$2,241,290,000","$1,882,120,000","$1,016,279,69",$17.56,"$1,982,814,49","$21,820,437,24","$38,498,579,89",$111.63,"$5,784,738,29",$398.80,"$1,986,972,21",$14.88,"$55,657,500","$1,922,870,66",$21.72,$26.88,"$624,302,000","$84,171,244,48",$1283.44,"$24,228,300","$28,075,500","$6,867,612,19",$0.371863,"$1,792,275,37",$8.30,"$21,343,000",$10.26,$4.66,"$131,670,000","$70,534,700",$489.13,"$194,549,000","$14,607,200",$18.76,"$4,856,692,10","$293,658,000",$0.302510,$3.50,"$2,209,533,80","$3,223,449,00","$11,775,516,27",$0.047553,$11690.00,$0.358161,"$54,522,000","$818,327,14",$0.984821,"$4,952,380",$212.19,$0.055773
"$801,392,51",$0.997835,"$2,699,022,36","$824,649,50",$8.14,$365.20,"$16,004,400","$97,086,500","$8,206,120",$612.91,"$609,824,000","$1,379,266,24",$859.29,"$197,438,438,73",$1.86,"$206,765,000","$39,696,400","$7,484,230,00","$6,541,190,000","$103,712,000","$1,362,563,26","$1,885,230,000","$211,091,000","$876,689,44","$5,175,540,97","$39,973,000","$29,981,300",$26.91,$115.14,"$5,772,088,58",1520281832.5123134,$3.57,"$1,882,380,48","$3,125,005,01","$39,495,300","$7,169,030","$115,969,000","$982,518,00","$2,216,391,27","$7,876,981,08","$352,734,000","$2,242,960,000","$1,893,440,000","$1,017,923,32",$17.56,"$1,984,453,44","$21,834,718,52","$38,631,414,36",$111.63,"$5,767,099,10",$398.97,"$1,982,839,68",$14.89,"$55,824,400","$1,928,108,72",$21.66,$26.82,"$630,469,000","$84,214,072,39",$1284.28,"$24,270,200","$28,188,600","$6,869,052,70",$0.371941,"$1,792,040,68",$8.35,"$21,273,000",$10.28,$4.67,"$131,737,000","$70,562,900",$491.26,"$196,103,000","$14,537,200",$18.81,"$4,859,395,66","$293,787,000",$0.303813,$3.49,"$2,212,340,70","$3,224,403,00","$11,792,942,00",$0.047530,$11681.40,$0.358267,"$54,732,900","$818,805,46",$0.988219,"$4,997,840",$212.50,$0.055806
"$797,307,26",$0.997017,"$2,684,658,81","$821,892,97",$8.13,$366.55,"$16,027,200","$97,169,600","$8,162,300",$611.14,"$609,385,000","$1,369,864,10",$857.51,"$197,282,940,79",$1.86,"$206,909,000","$40,128,000","$7,303,985,00","$6,557,470,000","$103,777,000","$1,362,710,11","$1,883,850,000","$210,391,000","$874,985,25","$5,163,505,61","$40,178,300","$29,986,400",$26.77,$112.37,"$5,766,660,74",1520282137.4749482,$3.55,"$1,884,100,45","$3,122,427,68","$39,268,200","$7,182,730","$115,479,000","$979,508,00","$2,218,890,32","$7,852,946,68","$352,737,000","$2,248,660,000","$1,901,300,000","$1,011,130,96",$17.54,"$1,979,030,24","$21,803,605,73","$38,370,006,45",$111.73,"$5,788,322,98",$399.01,"$1,979,446,42",$14.85,"$55,868,300","$1,924,941,28",$21.55,$26.78,"$630,229,000","$84,039,918,63",$1282.45,"$24,231,300","$28,152,000","$6,773,461,69",$0.366765,"$1,789,459,00",$8.32,"$21,303,800",$10.21,$4.67,"$132,580,000","$70,463,500",$489.75,"$202,440,000","$14,534,100",$18.78,"$4,845,346,63","$293,319,000",$0.302886,$3.49,"$2,210,527,08","$3,215,115,00","$11,775,460,78",$0.047491,$11672.20,$0.357235,"$54,742,000","$815,433,73",$0.981532,"$4,959,370",$212.19,$0.055576
